sample_index,fish_id,bout_index,partition,view_a_changed_elements,view_a_changed_element_fraction,view_a_changed_timesteps,view_a_changed_timestep_fraction,view_a_mean_abs_change,view_a_max_abs_change,view_a_finite,view_a_shape_ok,view_b_changed_elements,view_b_changed_element_fraction,view_b_changed_timesteps,view_b_changed_timestep_fraction,view_b_mean_abs_change,view_b_max_abs_change,view_b_finite,view_b_shape_ok,views_equal
576,DS005-JM-F001,576,train,21,0.04,7,0.04,0.03335149958729744,2.7689568996429443,True,True,51,0.09714285714285714,17,0.09714285714285714,0.0998186320066452,2.651001453399658,True,True,False
577,DS005-JM-F001,577,train,4,0.007619047619047619,2,0.011428571428571429,0.006403803825378418,1.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
578,DS005-JM-F001,578,train,0,0.0,0,0.0,0.0,0.0,True,True,36,0.06857142857142857,12,0.06857142857142857,0.04458155855536461,0.7403944730758667,True,True,False
579,DS005-JM-F001,579,train,51,0.09714285714285714,17,0.09714285714285714,0.058810584247112274,0.7403560280799866,True,True,22,0.0419047619047619,11,0.06285714285714286,0.0352209210395813,1.0,True,True,False
580,DS005-JM-F001,580,train,51,0.09714285714285714,17,0.09714285714285714,0.06614137440919876,0.7245185971260071,True,True,10,0.01904761904761905,5,0.02857142857142857,0.016009511426091194,1.0,True,True,False
581,DS005-JM-F001,581,train,15,0.02857142857142857,5,0.02857142857142857,0.01676873490214348,0.7630628943443298,True,True,33,0.06285714285714286,11,0.06285714285714286,0.03747773915529251,0.8273223638534546,True,True,False
582,DS005-JM-F001,582,train,30,0.05714285714285714,10,0.05714285714285714,0.03635917231440544,0.8554214835166931,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
583,DS005-JM-F001,583,train,6,0.011428571428571429,3,0.017142857142857144,0.009605705738067627,1.0,True,True,33,0.06285714285714286,11,0.06285714285714286,0.04101424291729927,0.8743557929992676,True,True,False
584,DS005-JM-F001,584,train,30,0.05714285714285714,15,0.08571428571428572,0.048028528690338135,1.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
585,DS005-JM-F001,585,train,0,0.0,0,0.0,0.0,0.0,True,True,45,0.08571428571428572,15,0.08571428571428572,0.05338061600923538,0.8280309438705444,True,True,False
586,DS005-JM-F001,586,train,12,0.022857142857142857,4,0.022857142857142857,0.014797395095229149,0.8336396217346191,True,True,30,0.05714285714285714,10,0.05714285714285714,0.036033935844898224,0.7833733558654785,True,True,False
587,DS005-JM-F001,587,train,36,0.06857142857142857,12,0.06857142857142857,0.04102368280291557,0.7151519060134888,True,True,24,0.045714285714285714,12,0.06857142857142857,0.03842282295227051,1.0,True,True,False
588,DS005-JM-F001,588,train,30,0.05714285714285714,10,0.05714285714285714,0.03618986904621124,0.7724155187606812,True,True,18,0.03428571428571429,6,0.03428571428571429,0.021494045853614807,0.7504673004150391,True,True,False
589,DS005-JM-F001,589,train,45,0.08571428571428572,15,0.08571428571428572,0.05322008579969406,0.8734461665153503,True,True,24,0.045714285714285714,10,0.05714285714285714,0.03329009935259819,1.0,True,True,False
590,DS005-JM-F001,590,train,16,0.030476190476190476,8,0.045714285714285714,0.025615215301513672,1.0,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
591,DS005-JM-F001,591,train,8,0.015238095238095238,4,0.022857142857142857,0.012807607650756836,1.0,True,True,27,0.05142857142857143,9,0.05142857142857143,0.03137722611427307,0.9395337700843811,True,True,False
592,DS005-JM-F001,592,train,15,0.02857142857142857,5,0.02857142857142857,0.018343377858400345,0.8392246961593628,True,True,12,0.022857142857142857,4,0.022857142857142857,0.013589124195277691,0.876311719417572,True,True,False
593,DS005-JM-F001,593,train,13,0.024761904761904763,6,0.03428571428571429,0.01954708993434906,1.0,True,True,9,0.017142857142857144,3,0.017142857142857144,0.010548673570156097,0.9381675124168396,True,True,False
594,DS005-JM-F001,594,train,0,0.0,0,0.0,0.0,0.0,True,True,3,0.005714285714285714,1,0.005714285714285714,0.0031614303588867188,0.9017825722694397,True,True,False
595,DS005-JM-F001,595,train,6,0.011428571428571429,2,0.011428571428571429,0.0076878792606294155,0.8989742398262024,True,True,26,0.049523809523809526,13,0.07428571428571429,0.04162472486495972,1.0,True,True,False
596,DS005-JM-F001,596,train,9,0.017142857142857144,3,0.017142857142857144,0.008625966496765614,0.9786843657493591,True,True,6,0.011428571428571429,2,0.011428571428571429,0.006713481154292822,0.9859025478363037,True,True,False
597,DS005-JM-F001,597,train,0,0.0,0,0.0,0.0,0.0,True,True,48,0.09142857142857143,16,0.09142857142857143,0.049250610172748566,0.9966024160385132,True,True,False
598,DS005-JM-F001,598,train,15,0.02857142857142857,5,0.02857142857142857,0.015496691688895226,0.996958315372467,True,True,34,0.06476190476190476,17,0.09714285714285714,0.05443233251571655,1.0,True,True,False
599,DS005-JM-F001,599,train,51,0.09714285714285714,17,0.09714285714285714,0.05177217349410057,0.9756621718406677,True,True,45,0.08571428571428572,15,0.08571428571428572,0.04530453309416771,0.9999370574951172,True,True,False
600,DS005-JM-F001,600,train,6,0.011428571428571429,2,0.011428571428571429,0.006493118591606617,0.9585379958152771,True,True,42,0.08,14,0.08,0.04112505540251732,0.9885453581809998,True,True,False
601,DS005-JM-F001,601,train,6,0.011428571428571429,2,0.011428571428571429,0.006812100298702717,0.844351589679718,True,True,18,0.03428571428571429,6,0.03428571428571429,0.018713034689426422,0.9183008074760437,True,True,False
602,DS005-JM-F001,602,train,0,0.0,0,0.0,0.0,0.0,True,True,15,0.02857142857142857,5,0.02857142857142857,0.019851936027407646,0.7566831111907959,True,True,False
603,DS005-JM-F001,603,train,15,0.02857142857142857,5,0.02857142857142857,0.017390215769410133,0.8727556467056274,True,True,0,0.0,0,0.0,0.0,0.0,True,True,False
604,DS005-JM-F001,604,train,0,0.0,0,0.0,0.0,0.0,True,True,9,0.017142857142857144,3,0.017142857142857144,0.01003432646393776,0.9252736568450928,True,True,False
605,DS005-JM-F001,605,train,39,0.07428571428571429,13,0.07428571428571429,0.04181447997689247,0.850373387336731,True,True,30,0.05714285714285714,10,0.05714285714285714,0.0347510501742363,0.8889661431312561,True,True,False
606,DS005-JM-F001,606,train,15,0.02857142857142857,5,0.02857142857142857,0.01885722205042839,0.8044647574424744,True,True,45,0.08571428571428572,15,0.08571428571428572,0.04912517964839935,0.8258907794952393,True,True,False
607,DS005-JM-F001,607,train,6,0.011428571428571429,2,0.011428571428571429,0.0075720068998634815,0.8104841709136963,True,True,3,0.005714285714285714,1,0.005714285714285714,0.0037862583994865417,0.8117135763168335,True,True,False
608,DS005-JM-F001,608,train,0,0.0,0,0.0,0.0,0.0,True,True,21,0.04,7,0.04,0.03267304599285126,1.5623425245285034,True,True,False
609,DS005-JM-F001,609,train,0,0.0,0,0.0,0.0,0.0,True,True,12,0.022857142857142857,4,0.022857142857142857,0.009155313484370708,0.9981076717376709,True,True,False
610,DS005-JM-F001,610,train,0,0.0,0,0.0,0.0,0.0,True,True,30,0.05714285714285714,10,0.05714285714285714,0.02858424186706543,0.9938002824783325,True,True,False
611,DS005-JM-F001,611,train,4,0.007619047619047619,2,0.011428571428571429,0.006403803825378418,1.0,True,True,24,0.045714285714285714,8,0.045714285714285714,0.022740529850125313,0.9901261925697327,True,True,False
